timestamp,sending_address,receiving_address,amount,transaction_type,location_region,ip_prefix,login_frequency,session_duration,risk_score,anomaly,age_group,purchase_pattern
1789268804,0xaca2b4a8818339995aeeaaee16412288f9e4b50a,0xb0a7dba1e025bb3c60f4d933b89c70a0abeaf776,2980.38,transfer,North America,154.128,7,115,93.61,moderate_risk,veteran,random
1789223309,0x12386c3de46c5d08e4cb116b05cdde534966308d,0x8acf7eda17c35542f897d555199c0983cc4b7ee2,2317.07,transfer,Europe,133.15,1,101,35.21,moderate_risk,veteran,focused
1789255936,0xac0f3d3f67c22c8e4a166ed34266e914c69c9ef4,0x4db80ef59f779be0caaafb62bd5f59084bde73ad,2153.24,phishing,North America,59.212,8,66,80.04,low_risk,veteran,random
1789259268,0x36f58bb7fee082065e2a923c3bd1f9a7da63c934,0x0d6e867705bab08ff7876c1130a5850def43914a,3861.8,transfer,Asia,90.176,4,62,59.03,moderate_risk,new,high_value
1789231406,0x2c3fa6e28a7b0c4d3a06141542af30cffe813566,0xef781a16571206f55d79621e6c4d6c8002f8c80c,242.77,transfer,Europe,188.215,4,57,53.43,moderate_risk,established,random
1789307815,0x7e07434e9c306d5a7c4f59ed34556e0137de9825,0xbd615df982c95f513c6c35cf2fdfd806cc5c230f,574.7,purchase,Asia,65.227,6,111,71.84,low_risk,veteran,random
1789216254,0x1a86ff66fe264ca8844cd386fe1a078803b3b6bd,0x65119ae575356183cbc738b3c29e06c66880e6b1,686.39,scam,Europe,134.173,6,83,31.98,low_risk,new,random
1789286870,0x3a3b1c2a73e706a5efe58ae737618ccdb4305455,0x5eb2e047ab4c4dd69c3c646ee693f75a52adde2f,1720.6,purchase,Asia,151.251,6,111,45.83,moderate_risk,veteran,high_value
1789236655,0x3a8436d50a4d77fc54d3e887a789fcffd68eb0ff,0xa738c07742446fddf8a9dc7823e371436b1289b8,2137.05,scam,North America,135.238,5,35,94.73,moderate_risk,veteran,focused
1789216595,0x81672a1ba414ec7d36801f4c85bbcc0cfb45aaab,0xa7eeca1c4d4980c14d3637a667ddbf572b2aeef7,1889.35,phishing,Africa,113.4,9,59,36.51,high_risk,established,random
1789303242,0xf988d8ffdc20157d722667752da7d96d61579348,0x2d51567f6df609c6e6d527fc5e84d1b6e486c738,1869.51,phishing,Europe,79.48,3,98,6.23,high_risk,established,high_value
1789227113,0xc074b15a915660822b080057e8191a7652a401b9,0x802649286a4a6a02f3af4d6b31b8fa48759f09f3,661.52,purchase,North America,179.54,10,8,94.3,low_risk,veteran,random
1789248204,0xccec0d4dc2b936c77f8a0bb5a6ad633f887335dd,0x2c37f9c08630982728fa15580c7fb883bf1480e3,2093.24,sale,South America,182.126,5,64,62.41,moderate_risk,established,high_value
1789274659,0xefb43d9eb093d284ab1c48ff64df1700515e14ab,0x5ac37606e561d23d6f6a3449717584e140f396d3,3007.8,purchase,South America,86.198,2,67,82.57,low_risk,established,focused
1789278501,0xe16caa935914f7ee72088174dd332808a37eb7dc,0x5d1a18aaa67fc01f8b92b16f74db38f5ee2ac101,2786.05,phishing,South America,188.118,4,6,87.01,moderate_risk,new,random
1789270407,0x68fe87a4b716167cba289aaa111c0ccce0e8401a,0x73c8212df31d3afe25598e2bf11004d88a2e20c2,2874.4,scam,Asia,155.53,9,103,33.02,low_risk,established,random
1789292006,0x1eb78010dae58c6fe5faf116c0bf8bb259d955a4,0x4a67fad5168fd63b45e288beee745cb1bb7a7dec,941.38,phishing,North America,116.41,5,105,9.62,moderate_risk,established,high_value
1789226918,0x3500b668b9d9368efd112bde86f5cb63ea5f4d60,0x92cd558319295107cfbd6afb8a0c9fdb51cd759f,3307.54,scam,Asia,37.186,8,40,55.55,moderate_risk,new,high_value
1789255953,0x153cf3b3907501030deb36105d8acbf0bd4342bd,0x0098f586a67373cce04841ae42597b5dd7824301,846.49,transfer,Asia,15.120,5,81,24.34,low_risk,established,focused
1789303273,0xe5aa11967ce2b6b1c7e0c621b1dbe1b47a239e08,0xc5fc5bc375cd397de603d95abc81340760cefee3,4308.27,purchase,Europe,177.34,3,111,92.7,high_risk,new,high_value
1789254728,0x8617f43afc1471e05e79d5c7e7028bce16ab8113,0x3bc9db26275025610b67757d7fc2eb42afc385af,2687.38,sale,Europe,14.17,5,36,50.61,moderate_risk,new,random
1789306073,0xf12e43473e5ebeae1fbd635c91982eef7076eb5a,0xd3d7c118684dbf3384f22f1fde224749e2f93397,2132.93,sale,South America,167.220,0,58,52.71,high_risk,veteran,random
1789253782,0xbf6d5d923b3199034a734cab5e78093e0242311d,0x6448cbd9d4b1c2f38296e1605e3d7d6f9233169f,2147.82,phishing,North America,16.238,1,46,39.68,high_risk,veteran,random
1789301946,0x6a4fa0bf1d371c44a09fd0f56be51137039084b2,0xce8f204312e70e3c2eb00ac4926c409251afdcb3,3591.45,sale,Asia,108.107,10,42,60.35,high_risk,new,focused
1789281204,0x23bae7a138c793b756799fa41dddc01196ac9708,0x145cae3f1d25679a0b0d3a123495f4b92be7ddd7,3322.7,phishing,North America,54.171,9,54,2.86,low_risk,new,random
1789286201,0x3f6f4c0a2d6c7aaeab3887332dd0bd0888de095d,0xa5d69fca6ccfa1f2e785171b1cb8658739a1bcd1,2938.64,sale,Asia,72.242,7,41,10.35,high_risk,established,high_value
1789309457,0xea9c4b0110fd112c8d652e29d1c0df052f10aa4d,0xc0ad9268b3e53d2a615343a1e88f05759612ea1a,4329.15,phishing,Asia,76.117,5,101,48.19,low_risk,established,focused
1789306407,0x92aeac3bfdf5e81ba91e9dae7dfebeee2e62352f,0xbbf3fea413005b5a4c24bb5446db96a0940d6ec7,68.52,purchase,Europe,185.182,6,7,35.58,low_risk,veteran,focused
1789248245,0xa31e2aa3e1511d397035a54b749b427ba756994a,0xbbf87945ba86898357463070a3bbd834a048aa16,2011.4,sale,Asia,186.69,1,47,69.92,low_risk,veteran,focused
1789276163,0x76dc67051adcd86c8a8fd357f69a561529242b8f,0x72a7c2c13540b6a4ae466a3b2e4c44626625afba,3224.43,phishing,North America,31.125,3,55,36.33,low_risk,new,high_value
1789225438,0xf607c84d714207cdaaaae70668ce1dd5ddcb903e,0xa0da8e4b79983a474e5a9d09006ad3bff15f92d8,214.7,transfer,North America,94.5,10,32,91.58,high_risk,veteran,focused
1789288318,0xb81bcbbf22a26bd9ba262cb4a135f088b368970f,0x064a08a98b803d2aa0d8dff1010f22494b2a78bd,3919.96,scam,North America,132.1,8,107,37.6,moderate_risk,new,random
1789242055,0xd2351037de2d5305c0afd5e5453af8790458bc7c,0x2770a1c7ebe6aa78aa726ee37dd3e0d3ae93cbb6,1808.04,scam,Europe,106.0,4,83,67.26,high_risk,veteran,random
1789231668,0xea9d5f3880f7c8bc018f202b4249ca28582f3b3f,0xa70b7dc1d409fe852262f2b5448b56c1a89c9a27,2622.49,phishing,North America,88.165,7,44,2.76,moderate_risk,veteran,high_value
1789233395,0x73f49dea3266640d5bbbfd28ada22917486cd094,0xe4d3188e3f71de7e2d7bd894408dc78c732214c9,548.24,purchase,Africa,30.244,8,69,66.04,moderate_risk,new,focused
1789250610,0x8f1f1f8913ac17f617a7dcfe319f062aee3d4034,0x984fb507e811638791d7eadc17c47f041ad11a89,2428.0,sale,South America,171.25,4,13,84.5,high_risk,new,random
1789256121,0x2a3070458d0d8bbaba6999b490bb5191e3c3c614,0xffa5de70cfb12c58e7ea5deb2ab0c7e520478f60,672.46,transfer,Europe,175.169,1,47,89.72,moderate_risk,new,random
1789274608,0x28d0b7c5786f586b20738ed31fa6c959486f9a4c,0x6c5db87a18bc3f35e3a113cd2cbee9fc28207d28,2062.08,purchase,Europe,104.199,3,7,89.23,high_risk,new,random
1789295757,0x8eee3be188a125fdcacb44d85184cf3eff9889ca,0xf03e290aac793132ef5ad84916bf37f7992bc78a,3449.17,phishing,North America,19.190,4,9,59.51,moderate_risk,veteran,focused
1789226824,0xa4a42da1c344a831e5c1d45aef259ee615616e2a,0xd636cf0bceb565c40d4d1650de21a74bdbf4ca30,3672.99,transfer,South America,103.108,1,108,34.22,moderate_risk,veteran,high_value
1789232407,0xa1b22f9d5c1a13f5311a9aaad4d2bf00e76312fa,0x1acbd3915c522d9fde83cbcc5c3a8e017093c71f,3572.25,purchase,North America,56.27,6,17,32.28,high_risk,established,high_value
1789289528,0xe98bdb3edee278bb0585076fa9c0a06b972163e8,0x29723aacf7ddcbdb54be8ef40fb842b89224e003,2855.52,purchase,Africa,17.177,5,69,55.71,moderate_risk,veteran,high_value
1789256922,0x9cd1019aaa70d2eee69c34c0f828a0fa4fa5f21f,0x5d2ef0fa72f39c392ae0d3dad998f3bfd6f0e650,3308.91,purchase,Europe,34.226,5,33,73.44,high_risk,new,random
1789214030,0x862ec628d36120c347346ca1f0998f2396e067d8,0xba5c992324db22d4f2885e044f634fe8fb854013,1433.66,purchase,Africa,134.157,9,13,51.57,low_risk,veteran,high_value
1789250953,0xa8b5fd8be68b207e02ff3ac7e1a073f6ae98b1b2,0x4ae99bcb727f4ec69f9361e3f2b1dfcbc54734d8,87.22,transfer,Asia,137.121,10,96,38.14,high_risk,established,focused
1789276662,0x04e9480ac9c652f347944f00c32536a0c6d3191c,0xc94c3bf5081257c2d94eb331b241dbe4ae2b6a08,2901.51,scam,Asia,24.101,7,25,23.54,low_risk,established,focused
1789238535,0x1481432b3be849a4db84670ed9fb0f08dbfeaad8,0x2aabd7d9ad26736a7650ddc950aaa6c7466ef50b,1622.87,phishing,Africa,186.67,10,28,75.64,moderate_risk,veteran,random
1789300811,0xd97732cb785f891c520942defa3bfdd214f9d05a,0x7804aec921da720af884ab8e28f191e7eb556374,3491.6,phishing,South America,61.25,6,109,14.3,high_risk,new,focused
1789253225,0xfc272b7475c070a0f5c2c98e0fbbd49dedd74628,0x523d3271bd4b4d6b32e68833ecb4846c1a412f63,4686.79,purchase,Europe,32.191,4,54,24.02,moderate_risk,veteran,focused
1789295468,0x449b1c1ebdf4c5ff6a3faf288e6b6e18e141b58a,0x93f4b135b9cf9f91a066779ebae982381814f908,3893.87,phishing,North America,54.194,5,70,82.61,high_risk,established,focused
1789309209,0x3e6b531d558c1223f6133a3eb5d1ee37622b8554,0xfb2eec0a570e442458b210ee5a38c6bcb880e7e6,2852.18,purchase,South America,128.140,5,24,21.11,moderate_risk,new,focused
1789264063,0xee9d3c545dd4a944b296fbe3902fdbcf51963434,0x8dd20dda470a2acfa0b8a22cd3e4810a36f03965,2700.85,scam,Africa,149.206,9,98,7.95,moderate_risk,new,random
1789269163,0xcb9160ff6d4a19db387a4b8f2e9ae9ef2c71e2e5,0x79c08bd7024d530a81d0c1a1daddc644f7fbd003,882.16,transfer,Asia,169.59,2,59,6.46,high_risk,established,high_value
1789298126,0x278a5e84819b7f9350b90ad8306452c5fd109d4f,0xe111fc56053ccc5545bb6f3d2caf402fcd75243a,1329.87,sale,South America,41.15,7,58,55.34,high_risk,veteran,focused
1789214253,0x7c6fad313a08c19bd22ad3ccca0a2b158d69c664,0xc2eb0313cecb826ec9e1635cd11233ec78414140,133.14,transfer,North America,176.43,2,7,63.71,high_risk,veteran,focused
1789266458,0x81b083ba193680d1d0f64cc5edaba06e91622503,0x57eda2f11a7bee6e80e353a98ae1a0f0a0307e2a,180.21,phishing,Africa,47.26,3,120,75.33,high_risk,established,random
1789239552,0x1709c996b1d6fa901b21cb87086550771bfc60aa,0x6be5c8f61ed2e9f6a9803fa4027be58e81f4b3dd,1559.18,sale,Africa,111.153,9,23,73.15,low_risk,veteran,random
1789290713,0xf726dcda988aeb45b7b2f282c722f7a835a8e661,0x97e25b28f4540a16b8cb8101ee284d4918a822e5,2957.64,sale,South America,95.201,10,108,0.48,low_risk,new,focused
